cluster,total,converted_count,conversion_rate,cluster_name,converted_companies,order_amount,avg_order_value,potential_score
0.0,141323,48,0.0003396474742257099,C0 微型內銷,48.0,42115307.0,877402.2291666666,0.7276574901844254
1.0,35565,48,0.0013496415014761704,C1 標準內銷,48.0,92428134.0,1925586.125,0.9993251792492619
2.0,2325,3,0.0012903225806451613,C2 大型外商,3.0,4020792.0,1340264.0,0.8473693945374516
3.0,252,0,0.0,C3 多面型強者,,0.0,0.0,0.5
4.0,2726,6,0.0022010271460014674,C4 品牌驅動,6.0,8588398.0,1431399.6666666667,0.8705784386386711
5.0,18783,14,0.0007453548421444923,C5 家族外銷,14.0,7113158.0,508082.71428571426,0.631556688835063
6.0,5842,4,0.0006846970215679561,C6 外資貿易,4.0,831653.0,207913.25,0.5536446550567662
