cluster,cluster_name,category_id,category_name,company_count,record_count,ba_count,urgency_hi_count,avg_stage_heat,avg_confidence,ba_ratio,urgency_high_pct,scale_score,heat_score
4,C4 品牌驅動,COMPANY_STATUS,公司狀態異常,13,13,0,12,0.0,0.1523076923076923,0.0,0.9230769230769231,0.2250376442151687,0.33716137499687987
0,C0 微型內銷,COMM,溝通聯繫障礙,19784,19784,0,8022,0.000606550748079256,0.390351799433886,0.0,0.40547917509098264,0.8435683574498697,0.32939260396065734
0,C0 微型內銷,COMPANY_STATUS,公司狀態異常,2100,2100,0,1283,0.0,0.14097142857142855,0.0,0.6109523809523809,0.6523450335721811,0.32785186385729337
1,C1 標準內銷,COMPANY_STATUS,公司狀態異常,184,184,0,130,0.0,0.12684782608695652,0.0,0.7065217391304348,0.4451500782712542,0.3136713200020769
5,C5 家族外銷,TECH,技術系統問題,1005,1005,23,460,0.1482587064676617,0.31845771144278606,0.022885572139303482,0.4577114427860697,0.58954807410027,0.2962230476558749
4,C4 品牌驅動,TECH,技術系統問題,263,263,4,144,0.09885931558935361,0.3062357414448669,0.015209125475285171,0.5475285171102662,0.4754722212187272,0.29606022371142604
5,C5 家族外銷,ERP,ERP系統相關,314,314,3,137,0.05732484076433121,0.63,0.009554140127388535,0.43630573248407645,0.4905332598464943,0.2958200277654772
1,C1 標準內銷,COMM,溝通聯繫障礙,5909,5910,19,2039,0.029949238578680204,0.4018274111675127,0.003215434083601286,0.34500846023688664,0.7405360790661408,0.29307866863448595
0,C0 微型內銷,INFO,資訊不足/不透明,3200,3200,0,1291,0.0,0.319921875,0.0,0.4034375,0.6882487870945225,0.2906731949189045
5,C5 家族外銷,COMM,溝通聯繫障礙,3621,3623,30,1281,0.0651393872481369,0.41084184377587635,0.008285004142502071,0.35357438586806517,0.6987852571743356,0.29022755322987515
2,C2 大型外商,TECH,技術系統問題,185,185,2,104,0.07567567567567568,0.27091891891891895,0.010810810810810811,0.5621621621621622,0.44560976660901763,0.28918681818666836
5,C5 家族外銷,COMPANY_STATUS,公司狀態異常,90,90,0,59,0.0,0.11533333333333332,0.0,0.6555555555555556,0.38464992228120376,0.28512998445624077
4,C4 品牌驅動,PROCESS,流程效率問題,138,138,3,71,0.13043478260869565,0.37579710144927536,0.021739130434782608,0.5144927536231884,0.42077236325698814,0.2847776610571947
4,C4 品牌驅動,ERP,ERP系統相關,61,61,2,28,0.19672131147540983,0.63,0.03278688524590164,0.45901639344262296,0.35192892134153375,0.2842054563994543
6,C6 外資貿易,COMM,溝通聯繫障礙,1015,1015,2,423,0.0187192118226601,0.39586206896551723,0.0019704433497536944,0.41674876847290643,0.5903915229170562,0.28347731936173637
1,C1 標準內銷,TECH,技術系統問題,1958,1958,10,768,0.032175689479060264,0.31417773237997954,0.005107252298263534,0.3922369765066394,0.6463777615500602,0.28040731941930724
0,C0 微型內銷,TECH,技術系統問題,3026,3026,0,1154,0.0006609385327164573,0.27411103767349637,0.0,0.3813615333773959,0.6834828311587757,0.27851613001232356
5,C5 家族外銷,SERVICE,服務品質問題,162,162,4,82,0.1728395061728395,0.295679012345679,0.024691358024691357,0.5061728395061729,0.4343541659919947,0.27816712949469524
1,C1 標準內銷,BUDGET,預算資源限制,3426,3426,23,1143,0.046993578517221246,0.3593345008756567,0.006713368359603036,0.3336252189141856,0.6940662105810264,0.2775196052218678
4,C4 品牌驅動,BUDGET,預算資源限制,339,339,5,154,0.08849557522123894,0.3530383480825958,0.014749262536873156,0.45427728613569324,0.49704573497710514,0.27689587265913784
1,C1 標準內銷,ERP,ERP系統相關,491,491,9,165,0.11608961303462322,0.63,0.018329938900203666,0.3360488798370672,0.528556554048278,0.27685795032085725
3,C3 多面型強者,ERP,ERP系統相關,5,5,0,3,0.0,0.63,0.0,0.6,0.15278687788646333,0.27355737557729265
3,C3 多面型強者,TECH,技術系統問題,17,17,0,11,0.0,0.2994117647058823,0.0,0.6470588235294118,0.24646772315394722,0.2733523681602012
5,C5 家族外銷,SECURITY,資安合規問題,189,189,1,100,0.05291005291005291,0.20275132275132277,0.005291005291005291,0.5291005291005291,0.44742413250697355,0.27060651962308785
5,C5 家族外銷,BUDGET,預算資源限制,2216,2216,13,735,0.048736462093862815,0.3640523465703971,0.0058664259927797835,0.3316787003610108,0.6569276784411457,0.26964095085068407
2,C2 大型外商,BUDGET,預算資源限制,266,266,1,122,0.022556390977443608,0.3357894736842105,0.0037593984962406013,0.45864661654135336,0.4764357566699995,0.26796384306332316
2,C2 大型外商,PROCESS,流程效率問題,149,149,2,69,0.0738255033557047,0.3810738255033557,0.013422818791946308,0.46308724832214765,0.4272667933171378,0.267856043227186
0,C0 微型內銷,BUDGET,預算資源限制,5117,5117,0,1437,0.0013679890560875513,0.3578424858315419,0.0,0.280828610513973,0.7282669680304568,0.26568622534343744
4,C4 品牌驅動,SERVICE,服務品質問題,32,32,0,19,0.0,0.2725,0.0,0.59375,0.29815412336178887,0.2650058246723578
2,C2 大型外商,SECURITY,資安合規問題,50,50,0,29,0.0,0.22240000000000001,0.0,0.58,0.33527455729129285,0.26329491145825856
2,C2 大型外商,SERVICE,服務品質問題,13,13,0,8,0.0,0.3323076923076923,0.0,0.6153846153846154,0.2250376442151687,0.26285368268918763
2,C2 大型外商,COMM,溝通聯繫障礙,408,409,0,162,0.007334963325183374,0.4127139364303179,0.0,0.3960880195599022,0.5128013993899192,0.2626580793889863
0,C0 微型內銷,ERP,ERP系統相關,742,742,0,214,0.0,0.63,0.0,0.2884097035040431,0.5637071418765652,0.262264339426526
6,C6 外資貿易,BUDGET,預算資源限制,555,555,0,216,0.010810810810810811,0.3700900900900901,0.0,0.3891891891891892,0.5389844284949471,0.2615626514647552
3,C3 多面型強者,SERVICE,服務品質問題,3,3,0,2,0.0,0.3466666666666667,0.0,0.6666666666666666,0.1182120652379589,0.2583090797142584
