cluster,f_foreign,f_family,f_biz_model,f_headcount,f_n_decision,f_n_family_mbr,f_n_trade_ctry,f_n_competitor,f_group,f_n_subsidiary,f_n_brand,f_n_issues,f_industry_ldr,f_n_customer,f_n_supplier
0,0.0,0.004,0.065,8.639,0.206,0.003,0.011,0.06,0.0,0.018,0.011,0.232,0.0,0.008,0.015
1,0.0,0.0,1.573,82.764,1.627,0.018,0.334,0.956,0.0,0.502,0.111,2.833,0.0,0.396,0.212
2,0.226,0.145,1.682,992.946,2.475,0.12,0.819,1.19,0.0,1.104,0.437,3.725,0.0,0.582,0.425
3,0.29,0.313,1.794,451.984,2.21,0.27,1.409,1.048,0.0,0.944,0.571,3.563,1.0,0.865,0.452
4,0.047,0.23,1.527,103.522,2.014,0.204,0.453,1.008,0.0,0.593,2.855,3.371,0.0,0.555,0.312
5,0.001,0.999,1.455,87.032,1.633,0.971,0.346,0.926,0.0,0.491,0.097,2.702,0.0,0.414,0.207
6,0.991,0.139,1.445,84.235,1.62,0.126,1.237,0.9,0.0,0.802,0.207,2.657,0.0,0.362,0.242
