path,path_length,last_stage,is_leaf,total_orders,new_customer_orders,repurchase_orders,repurchase_rate,total_amount,avg_amount,final_stages
C1 → D → B → C1 → B → C1 → D → C1 → B,9,B,True,2,0,2,100.0,56870.0,28435.0,{'B': 2}
B → D → B → C1 → A → C1 → B → C1 → A,9,A,True,2,0,2,100.0,996840.0,498420.0,{'A': 2}
B → C2 → B → A → C1 → A → C1 → B → C1,9,C1,True,1,0,1,100.0,0.0,0.0,{'C1': 1}
A → D → C1 → B → C1 → B → D → B → A,9,A,True,1,0,1,100.0,0.0,0.0,{'A': 1}
C1 → B → C1 → B → A → C1 → C2 → C1 → A,9,A,True,1,0,1,100.0,150000.0,150000.0,{'A': 1}
B → A → B → A → C1 → A → C2 → C1 → B,9,B,True,1,0,1,100.0,116667.0,116667.0,{'B': 1}
C1 → B → C1 → B → A → C1 → A → C1 → A,9,A,True,1,0,1,100.0,0.0,0.0,{'A': 1}
A → B → D → B → A → B → A → B → A → B,10,B,True,10,0,10,100.0,933102.0,93310.2,{'B': 2}
C1 → B → A → B → A → C2 → C1 → B → A → C1,10,C1,True,8,0,8,100.0,439610.0,54951.25,{'C1': 4}
C1 → A → C1 → B → C1 → B → C1 → C2 → B → C1,10,C1,True,8,0,8,100.0,3530093.0,441261.625,{'C1': 8}
D → E → D → C1 → B → C2 → C1 → B → E → A,10,A,True,7,0,7,100.0,6839815.0,977116.4285714285,{'A': 2}
A → C1 → B → C1 → B → A → B → C1 → B → C1,10,C1,True,2,0,2,100.0,62880.0,31440.0,{'C1': 2}
C1 → A → C1 → B → C1 → B → C1 → A → C1 → A,10,A,True,2,0,2,100.0,93500.0,46750.0,{'A': 1}
B → A → D → C1 → A → C2 → A → D → A → C1,10,C1,True,2,0,2,100.0,2358675.0,1179337.5,{'C1': 1}
C1 → A → C1 → A → C1 → C2 → C1 → A → B → A,10,A,True,1,0,1,100.0,65000.0,65000.0,{'A': 1}
C1 → B → A → D → A → C1 → A → C1 → A → C1,10,C1,True,1,0,1,100.0,118800.0,118800.0,{'C1': 1}
B → C2 → B → A → C2 → B → C1 → B → C1 → B,10,B,True,1,0,1,100.0,24000.0,24000.0,{'B': 1}
C1 → B → A → C2 → A → B → D → A → C1 → A,10,A,True,1,0,1,100.0,64680.0,64680.0,{'A': 1}
C1 → D → C1 → A → D → C1 → A → B → C1 → A,10,A,True,1,0,1,100.0,37400.0,37400.0,{'A': 1}
B → A → B → C2 → A → C1 → A → C1 → D → A,10,A,True,1,0,1,100.0,209898.0,209898.0,{'A': 1}
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A,11,A,True,6,0,6,100.0,732919.0,122153.16666666667,{'A': 1}
D → E → D → C1 → B → C2 → C1 → B → E → A → C1,11,C1,True,5,0,5,100.0,3814615.0,762923.0,{'C1': 5}
C1 → B → A → B → A → C2 → C1 → B → A → C1 → A,11,A,True,4,0,4,100.0,265860.0,66465.0,{'A': 1}
B → C1 → B → A → C1 → B → D → E → A → C1 → A,11,A,True,3,0,3,100.0,60000.0,20000.0,{'A': 3}
A → C1 → A → B → A → C1 → B → C1 → B → A → B → A,12,A,True,13,0,13,100.0,5536548.0,425888.3076923077,{'A': 10}
C1 → B → E → C1 → B → D → A → C1 → A → B → C1 → C2,12,C2,True,13,0,13,100.0,3719596.0,286122.76923076925,{'C2': 1}
A → B → D → B → A → B → A → B → A → B → E → B,12,B,True,8,0,8,100.0,828330.0,103541.25,{'B': 7}
A → B → D → C1 → B → A → B → D → A → D → C1 → A,12,A,True,3,0,3,100.0,845720.0,281906.6666666667,{'A': 3}
C1 → B → A → B → A → C2 → C1 → B → A → C1 → A → C1,12,C1,True,3,0,3,100.0,213860.0,71286.66666666667,{'C1': 3}
B → A → C1 → B → C1 → B → C1 → B → C1 → D → C1 → C2,12,C2,True,2,0,2,100.0,2007998.0,1003999.0,{'C2': 2}
C1 → A → C1 → B → C1 → B → C1 → A → C1 → A → B → A,12,A,True,1,0,1,100.0,0.0,0.0,{'A': 1}
C1 → B → E → C1 → B → D → A → C1 → A → B → C1 → C2 → B,13,B,True,12,0,12,100.0,3699596.0,308299.6666666667,{'B': 1}
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A → C1 → A,13,A,True,5,0,5,100.0,478119.0,95623.8,{'A': 2}
