stage,order_count,total_revenue,avg_revenue,avg_days_to_close,median_days_to_close,min_days,max_days,stage_rank
A,5843,1576537353.82,269816.4220126647,180.02293342461064,126.0,0,795,1
B,6293,1948868157.0,309688.24996027333,161.81026537422534,102.0,0,789,2
C1,6733,2091736862.2,310669.36910738156,177.5689885637903,128.0,0,838,3
C2,784,192936301.0,246092.2206632653,210.88137755102042,165.5,0,840,4
D,1154,243957873.44,211401.97005199306,181.54939341421144,126.0,0,728,5
E,829,197656936.0,238428.14957780458,197.4692400482509,158.0,0,780,6
