cluster,total_companies,ordered_companies,total_revenue,avg_order,conversion_rate,cluster_name
0.0,71080,19951,3917133289.44,196337.69181695153,0.2806837366347777,C0 微型內銷
1.0,28105,18390,3870291252.65,210456.29432572052,0.6543319694004626,C1 標準內銷
2.0,1916,4671,1697196493.91,363347.56880967674,2.4378914405010437,C2 大型外商
3.0,206,355,66040255.0,186028.88732394367,1.7233009708737863,C3 多面型強者
4.0,2238,5898,1599041355.4,271115.8622244829,2.635388739946381,C4 品牌驅動
5.0,15452,10649,1669483039.92,156773.69141891258,0.6891664509448615,C5 家族外銷
6.0,4533,3226,2174145401.0,673944.637631742,0.7116699757335098,C6 外資貿易
